X,Y,Name,description,Ville
2.3404134,48.8703322,Les Petites Pépites,,
2.3358588,48.8936029,OMI,,
2.3669182,48.8611246,Blend Hamburger BEAUMARCHAIS,,
2.3744885,48.8529706,Blend Hamburger CHARONNE,,
2.3436111,48.8658333,Blend Hamburger ARGOUT,,
-0.56773,44.8317987,Smashy bordeaux,,
2.3362627,48.8795918,Gili-Gili,,
2.1892064,41.3792839,La Cova Fumada,,
2.3486833,48.8661143,Shosh,,
-1.5527984,47.2156564,VINCENZO,,
2.3284457,48.8331379,A Mi-Chemin,,
2.3631547,48.8732284,Plan D - DWICH & GLACE,,
2.3463748,48.8830213,Cot Cot,,
2.3765854,48.8675331,Nonette Banh Mi & Donuts,,
-1.661838,43.386354,Bocata,,
2.3793777,48.8627252,Baby Love Burger,,
2.3447269,48.8780407,Snack Attack,,
2.3612926,48.8580527,Le Petit Dakar,,
2.3464647,48.889185,MELT TAQUERIA,,
2.3203012,48.8877739,MELT BATIGNOLLES,,
