id,lat,long,nom,ville,type,adresse
1176,,,Shirvan,75008,neobistrot/indien/orient,"5 Pl. de l'Alma, 75008 Paris"
1177,,,Toraya,75001,asiatique,"10 Rue Saint-Florentin, 75001 Paris"
1178,,,Cibus,75001,italien,"5 Rue Molière, 75001 Paris"
1179,,,Le petit sommelier de Paris,75014,brasserie,"49 Av. du Maine, 75014 Paris"
1180,,,Jaïs,75007,brasserie,"3 Rue Surcouf, 75007 Paris"
1181,,,Crêperie Bertine - Paris,75011,crepes,"149 Av. Ledru Rollin, 75011 Paris"
1182,,,Sellae,75013,neobistrot,"18 Rue des Wallons, 75013 Paris"
1183,,,Vecchio au Perchoir,75011,neobistrot/italien,"14 Rue Crespin du Gast, 75011 Paris"
1184,,,Terra Pizza,75003,italien,"67 Rue des Gravilliers, 75003 Paris"
1185,,,AVE Pizza Romana,75011,italien,"90 Rue de la Folie Méricourt, 75011 Paris"
1186,,,Maslow,75001,vege/brasserie,"14 Quai de la Mégisserie, 75001 Paris"
1187,,,Boubalé,75004,neobistrot,"6 Rue des Archives, 75004 Paris"
1188,,,Donna,75003,neobistrot,"157 Rue Saint-Martin, 75003 Paris"
1189,,,Le Cheval d'Or,75019,neobistrot/asiatique,"21 Rue de la Villette, 75019 Paris"
1190,,,SUBACO,75018,neobistrot/asiatique,"20 Rue Joseph Dijon, 75018 Paris"
1191,,,Candelaria,75003,latino/bar,"52 Rue de Saintonge, 75003 Paris"
1192,,,Pristine,75009,neobistrot,"8 Rue de Maubeuge, 75009 Paris"
1193,,,Paulownia,75020,neobistrot,"15 Rue des Vignoles, 75020 Paris"
1194,,,Double - Restaurant,75018,neobistrot/asiatique/italien,"87 Rue Lamarck, 75018 Paris"
1195,,,L'Orillon,75011,neobistrot,"35 Rue de l'Orillon, 75011 Paris"
1196,,,ChoCho,75010,neobistrot,"54 Rue de Paradis, 75010 Paris"
1197,,,Alfred,75001,neobistrot,"8 Rue du Mont Thabor, 75001 Paris"
1198,,,MOTA,75009,brunch/pouce/coffee,"23 Rue Joubert, 75009 Paris"
