numero,Lat,Long,Nom,Ville,Pays,Type,star,isReservable,horaires,adresse,photo
717,2.3626646,48.8721303,Shouk,75010,France,sur_le_pouce/moyen_orient,,,,59 Rue de Lancry,https://media-cdn.tripadvisor.com/media/photo-s/14/f2/23/99/pita.jpg
718,2.3452711,48.8906451,GEMÜSE - Berliner Kebap,75018,France,sur_le_pouce/moyen_orient,,,,61 Rue Ramey,https://uploads.lebonbon.fr/source/2020/november/2012805/photo-1-1-_5_1125.jpg
719,2.374628,48.8534569,Sando Club,75011,France,sur_le_pouce,,,,1-3 Pass. Thiéré,https://media-cdn.tripadvisor.com/media/photo-s/16/23/72/d3/excellent.jpg
720,2.3565492,48.8746461,BMK Paris-Bamako,75010,France,africain/brasserie,,,,14 Rue de la Fidélité,https://marionadecouvert.com/wp-content/uploads/2018/11/DSC05046.jpg
721,2.350294,48.8644,Petit Bao,75002,France,asiatique/sur_le_pouce,,,,116 Rue Saint-Denis,https://media-cdn.tripadvisor.com/media/photo-s/17/ba/0e/f3/sharing-is-caring.jpg
722,2.3460395,48.8655464,Miss Banh Mi,75002,France,asiatique/sur_le_pouce,,,,5 Rue Mandar,https://media-cdn.tripadvisor.com/media/photo-s/13/26/87/fa/20180529-142718-largejpg.jpg
723,2.3364629,48.8819802,El Nopal Taqueria,75009,France,mexicain/sur_le_pouce,,,,5 Rue Duperré,https://media-cdn.tripadvisor.com/media/photo-s/1a/53/a3/88/photo0jpg.jpg
724,2.3700391,48.8663817,Café Chilango,75011,France,mexicain/sur_le_pouce,,,,82 Rue de la Folie Méricourt,"https://res.cloudinary.com/tf-lab/image/upload/w_600,h_337,c_fill,g_auto:subject,q_auto,f_auto/restaurant/1fbaea7a-2cc2-43bd-9a1f-0344e5549baa/7365429e-47e9-4f49-b2cb-57276c398d38.jpg"
725,2.3529334,48.8287366,MISSO,75013,France,asiatique,,,,27 Rue du Moulin des Prés,https://cdn.eat-list.fr/establishment/photo/gallery_photo/75013-paris-13/misso_47030_5e7.jpg
726,2.362641,48.872194,SAaM,75010,France,asiatique,,,,59Bis Rue de Lancry,https://lemenu.co/images/4631884ab969ff9c5c04af0731d7a8de.jpg
727,2.3680862,48.8242888,Pho Bida Viet Nam,75013,France,asiatique,,,,36 - 38 Rue Nationale,https://media-cdn.tripadvisor.com/media/photo-s/04/79/d8/2e/pho-bida-vietnam.jpg
728,2.351932,48.842221,Foyer Vietnam,75005,France,asiatique,,,,80 Rue Monge,https://sortir.telerama.fr/sites/tr_master/files/styles/m_plus_640x360/public/assets/images/place/46/60/9/originale.jpg?itok=QfJk2Ips
729,2.3603226,48.8731454,La Taverne de Zhao,75010,France,asiatique,,,,49 Rue des Vinaigriers,https://media-cdn.tripadvisor.com/media/photo-s/05/f7/0f/6e/la-taverne-de-zhao.jpg
732,2.352104,48.8478104,Bonvivant Pizza,75005,France,italien,,,,4 Rue des Écoles,https://media-cdn.tripadvisor.com/media/photo-s/17/65/c9/32/merveilleuses-pizzas.jpg
733,2.385021,48.850215,Joayo Bastille,75011,France,asiatique,,,,239 Rue du Faubourg Saint-Antoine,https://media-cdn.tripadvisor.com/media/photo-s/15/37/9a/0f/photo4jpg.jpg
